,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
462,1691355,Sabang,PH,13.72,13.72,1522959920,74.38,100,100,7.07
466,1605279,Trat,TH,12.25,12.25,1522959921,78.88,100,32,3.04
467,3696267,Huicungo,PE,-7.28,-7.28,1522958400,91.4,55,40,2.59
474,3622716,Nicoya,CR,10.15,10.15,1522958400,95,34,20,5.82
479,140463,Birjand,IR,32.86,32.86,1522954800,66.2,22,75,4.7
483,3648546,Barinas,VE,8.64,8.64,1522958400,89.6,55,75,4.61
491,186180,Moyale,ET,3.52,3.52,1522959924,62.86,96,24,3.83
495,1505991,Igarka,RU,67.47,67.47,1522959988,-1.13,80,0,14.79
496,2022369,Kholtoson,RU,50.3,50.3,1522959924,-3.56,55,0,2.37
0,541844,Krasnyy Bogatyr,RU,56.01,56.01,1522959826,27.31,71,8,7.52
8,5024237,Callaway,US,46.98,46.98,1522959300,25.84,79,40,6.96
16,3144987,Beisfjord,NO,68.38,68.38,1522957800,30.2,80,40,2.24
19,789988,Mana,RS,43.52,43.52,1522958400,49.77,87,75,2.24
29,2178174,Albury,AU,-36.08,-36.08,1522958400,44.04,87,0,0.69
32,3696183,Iquitos,PE,-3.75,-3.75,1522954800,89.6,59,75,5.82
38,1270265,Harur,IN,12.06,12.06,1522959870,66.55,95,0,2.71
48,7647007,San Carlos de Bariloche,AR,-41.13,-41.13,1522954800,48.2,45,40,17.22
53,2669047,Timra,SE,62.49,62.49,1522957800,32.77,98,90,1.12
64,5136454,Schenectady,US,42.81,42.81,1522958040,34.99,27,75,28.86
67,4944903,Nantucket,US,41.28,41.28,1522956900,43.2,26,1,21.92
73,5821593,Cody,US,44.53,44.53,1522958160,30.2,86,75,14.99
107,2966778,Ballina,IE,54.11,54.11,1522956600,44.6,75,90,21.92
110,3670419,Catalina,CO,8.86,8.86,1522958400,91.4,55,40,9.17
115,2127154,Aniva,RU,46.71,46.71,1522956600,17.6,92,0,6.71
126,4069458,Wagar,US,31.44,31.44,1522959905,72.58,26,0,3.6
129,1090467,Boueni,YT,-12.9,-12.9,1522958400,80.6,88,32,4.7
143,150099,Sepuka,TZ,-4.75,-4.75,1522959838,58.99,90,8,5.17
144,3571913,Marsh Harbour,BS,26.54,26.54,1522959907,73.66,100,44,10.98
146,3465713,Conde,BR,-11.81,-11.81,1522959838,82.66,75,8,9.19
161,6957977,Zhoucheng,CN,31.35,31.35,1522959839,44.5,97,92,9.42
166,901766,Namwala,ZM,-15.75,-15.75,1522959917,68.62,89,24,6.96
171,2447513,Arlit,NE,18.74,18.74,1522959935,74.29,17,0,6.4
172,1856057,Nakamura,JP,35.17,35.17,1522956840,58.15,93,75,2.24
176,695826,Rakiv Lis,UA,51.62,51.62,1522959908,52.78,80,48,6.4
198,522260,Nikel,NO,69.41,69.41,1522957800,30.2,80,75,5.82
202,3877918,Ovalle,CL,-30.6,-30.6,1522959968,65.74,88,36,3.94
205,3407882,Altamira,BR,-3.2,-3.2,1522959837,79.6,83,80,3.6
220,2128815,Obihiro,JP,42.92,42.92,1522959969,26.05,69,88,2.71
226,215527,Kabinda,CD,-6.14,-6.14,1522959874,70.24,83,8,3.83
227,1864009,Fukuchiyama,JP,35.32,35.32,1522959852,58.63,91,12,12.44
231,3838233,Humaita,AR,-24.93,-24.93,1522954800,81.03,50,20,5.82
234,338832,Dire Dawa,ET,9.59,9.59,1522959844,58.81,92,24,2.71
236,6160362,Swan River,CA,52.11,52.11,1522959844,11.29,74,44,10.09
241,895269,Beitbridge,ZA,-22.21,-22.21,1522959876,76.81,68,76,9.42
245,5820705,Casper,US,42.87,42.87,1522957980,48.2,34,20,12.75
246,3697838,Contamana,PE,-7.35,-7.35,1522959845,89.86,56,0,4.94
255,3992212,Poncitlan,MX,20.37,20.37,1522957260,84.2,9,5,5.82
256,543246,Kozhva,RU,65.11,65.11,1522959846,24.25,88,68,3.04
261,141736,Bam,IR,29.11,29.11,1522959855,65.38,32,0,6.4
271,1737714,Limbang,BN,4.75,4.75,1522958400,80.6,88,75,1.12
273,3126369,Carballo,ES,43.21,43.21,1522958400,54.41,58,0,9.17
276,2527089,Tiznit,MA,29.7,29.7,1522959973,59.89,91,36,5.39
284,6144195,Senneterre,CA,48.39,48.39,1522958400,19.4,44,20,9.17
285,3464724,Diamantino,BR,-14.4,-14.4,1522959849,79.78,93,44,1.7
286,2331447,Maiduguri,NG,11.84,11.84,1522959944,78.16,21,20,7.4
